Kategorija,Naziv,Sastojci,Cena (RSD)
Najtraženije,Diavola 32cm,"Pelat, kačkavalj, kulen, crvena slatka paprika, feferone, pavlaka, origano, masline",1090.00
Najtraženije,Tortilja Beef,"Biftek, čedar, ajzberg, burger dresing, paradajz",850.00
Najtraženije,Sendvič Beef,"Biftek, ajzberg, čeri, čedar, burger dresing, parmezan",690.00
Najtraženije,Obrok salata Beef,"Biftek, rukola, ajzberg, čeri, čedar dresing",950.00
Najtraženije,Palačinka Nutella,-,350.00
Najtraženije,Vegetariana 32cm,"Pelat, kačkavalj, tikvice, pečurke, rukola, crveni luk, čeri, masline, origano",990.00
Najtraženije,Capricciosa 42cm,"Pelat, kačkavalj, šunka, pečurke, masline, origano",1350.00
Najtraženije,Capricciosa 32cm,"Pelat, kačkavalj, šunka, pečurke, masline, origano",1090.00
Najtraženije,Quattro Carni 42cm,"Pelat, kačkavalj, šunka, kulen, slanina, pršuta, masline, origano",1590.00
Najtraženije,Pasta Spicy Beef,"Pelat, biftek, peperončino, parmezan",950.00
Najtraženije,Sendvič Classic,"Šunka, pavlaka, kačkavalj, paradajz, parmezan, ajzberg",520.00
Pizza 24cm,Margarita 24cm,"Pelat, kačkavalj, bosiljak, masline",550.00
Pizza 24cm,Vesuvio 24cm,"Pelat, kačkavalj, šunka, origano, masline",590.00
Pizza 24cm,Funghi 24cm,"Pelat, kačkavalj, pečurke, masline, origano",590.00
Pizza 24cm,Capricciosa 24cm,"Pelat, kačkavalj, šunka, pečurke, masline, origano",650.00
Pizza 24cm,Cinque Formaggi 24cm,"Krema, kačkavalj, gorgonzola, dimljeni sir, čedar sir, masline, origano",670.00
Pizza 24cm,Quattro Stagioni 24cm,"Pelat, kačkavalj, kulen, šunka, pečurke, jaje, parmezan, masline, origano",670.00
Pizza 24cm,Quattro Carni 24cm,"Pelat, kačkavalj, šunka, kulen, slanina, pršuta, masline, origano",590.00
Pizza 24cm,Diavola 24cm,"Pelat, kačkavalj, kulen, crvena slatka paprika, feferone, pavlaka, origano, masline",650.00
Pizza 24cm,Srbijana 24cm,"Pelat, kačkavalj, šunka, slanina, pršuta, kajmak, feferone, origano, masline",690.00
Pizza 24cm,Capone 24cm,"Krema, kačkavalj, pršuta, kulen, crveni luk, parmezan, čeri, masline, origano",680.00
Pizza 24cm,Peperoni 24cm,"Pelat, kačkavalj, kulen, feferone, masline, origano",650.00
Pizza 24cm,Kontadita 24cm,"Pelat, kačkavalj, pečurke, slanina, čeri, rukola, kajmak, masline, origano",690.00
Pizza 24cm,Bacon Double Cheese 24cm,"Pelat, kačkavalj, slanina, čedar, crvena slatka paprika, parmezan, masline, origano",590.00
Pizza 24cm,Vegetariana 24cm,"Pelat, kačkavalj, tikvice, pečurke, rukola, crveni luk, čeri, masline, origano",550.00
Pizza 24cm,Arabiata 24cm,"Pelat, crvena slatka paprika, kačkavalj, rukola, parmezan, masline, origano",650.00
Pizza 24cm,Mesnata 24cm,"Kačkavalj, slanina, suvi vrat, kulen, šunka, pavlaka, masline, origano, pelat",790.00
Pizza 24cm,Prosciutto crudo 24cm,-,790.00
Pizza 32cm,Margarita 32cm,"Pelat, kačkavalj, bosiljak, masline",990.00
Pizza 32cm,Vesuvio 32cm,"Pelat, kačkavalj, šunka, origano, masline",1050.00
Pizza 32cm,Funghi 32cm,"Pelat, kačkavalj, pečurke, masline, origano",1050.00
Pizza 32cm,Capricciosa 32cm,"Pelat, kačkavalj, šunka, pečurke, masline, origano",1090.00
Pizza 32cm,Cinque Formaggi 32cm,"Krema, kačkavalj, gorgonzola, dimljeni sir, čedar sir, masline, origano",1190.00
Pizza 32cm,Quattro Stagioni 32cm,"Pelat, kačkavalj, kulen, šunka, pečurke, jaje, parmezan, masline, origano",1390.00
Pizza 32cm,Quattro Carni 32cm,"Pelat, kačkavalj, šunka, kulen, slanina, pršuta, masline, origano",1290.00
Pizza 32cm,Diavola 32cm,"Pelat, kačkavalj, kulen, crvena slatka paprika, feferone, pavlaka, origano, masline",1090.00
Pizza 32cm,Srbijana 32cm,"Pelat, kačkavalj, šunka, slanina, pršuta, kajmak, feferone, origano, masline",1350.00
Pizza 32cm,Capone 32cm,"Krema, kačkavalj, pršuta, kulen, crveni luk, parmezan, čeri, masline, origano",1250.00
Pizza 32cm,Peperoni 32cm,"Pelat, kačkavalj, kulen, feferone, masline, origano",1090.00
Pizza 32cm,Kontadita 32cm,"Pelat, kačkavalj, pečurke, slanina, čeri, rukola, kajmak, masline, origano",1290.00
Pizza 32cm,Bacon Double Cheese 32cm,"Pelat, kačkavalj, slanina, čedar, crvena slatka paprika, parmezan, masline, origano",1050.00
Pizza 32cm,Vegetariana 32cm,"Pelat, kačkavalj, tikvice, pečurke, rukola, crveni luk, čeri, masline, origano",990.00
Pizza 32cm,Arabiata 32cm,"Pelat, crvena slatka paprika, kačkavalj, rukola, parmezan, masline, origano",1090.00
Pizza 32cm,Mesnata 32cm,"Kačkavalj, slanina, suvi vrat, kulen, šunka, pavlaka, masline, origano, pelat",1090.00
Pizza 32cm,Prosciutto crudo 32cm,-,1490.00
Pizza 42cm,Margarita 42cm,"Pelat, kačkavalj, bosiljak, masline",1190.00
Pizza 42cm,Vesuvio 42cm,"Pelat, kačkavalj, šunka, origano, masline",1250.00
Pizza 42cm,Funghi 42cm,"Pelat, kačkavalj, pečurke, masline, origano",1250.00
Pizza 42cm,Capricciosa 42cm,"Pelat, kačkavalj, šunka, pečurke, masline, origano",1350.00
Pizza 42cm,Cinque Formaggi 42cm,"Krema, kačkavalj, gorgonzola, dimljeni sir, čedar sir, masline, origano",1490.00
Pizza 42cm,Quattro Stagioni 42cm,"Pelat, kačkavalj, kulen, šunka, pečurke, jaje, parmezan, masline, origano",1490.00
Pizza 42cm,Quattro Carni 42cm,"Pelat, kačkavalj, šunka, kulen, slanina, pršuta, masline, origano",1590.00
Pizza 42cm,Diavola 42cm,"Pelat, kačkavalj, kulen, crvena slatka paprika, feferone, pavlaka, origano, masline",1350.00
Pizza 42cm,Srbijana 42cm,"Pelat, kačkavalj, šunka, slanina, pršuta, kajmak, feferone, origano, masline",1650.00
Pizza 42cm,Capone 42cm,"Krema, kačkavalj, pršuta, kulen, crveni luk, parmezan, čeri, masline, origano",1550.00
Pizza 42cm,Peperoni 42cm,"Pelat, kačkavalj, kulen, feferone, masline, origano",1350.00
Pizza 42cm,Kontadita 42cm,"Pelat, kačkavalj, pečurke, slanina, čeri, rukola, kajmak, masline, origano",1590.00
Pizza 42cm,Bacon Double Cheese 42cm,"Pelat, kačkavalj, slanina, čedar, crvena slatka paprika, parmezan, masline, origano",1250.00
Pizza 42cm,Vegetariana 42cm,"Pelat, kačkavalj, tikvice, pečurke, rukola, crveni luk, čeri, masline, origano",1190.00
Pizza 42cm,Arabiata 42cm,"Pelat, crvena slatka paprika, kačkavalj, rukola, parmezan, masline, origano",1690.00
Pizza 42cm,Mesnata 42cm,"Kačkavalj, slanina, suvi vrat, kulen, šunka, pavlaka, masline, origano, pelat",1690.00
Pizza 42cm,Prosciutto crudo 42cm,-,1790.00
Sendviči,Sendvič Cezar,"Grill piletina, hrskava slanina, čeri, ajzberg, cezar dresing, kačkavalj, parmezan",550.00
Sendviči,Sendvič Beef,"Biftek, ajzberg, čeri, čedar, burger dresing, parmezan",690.00
Sendviči,Sendvič Vege,"Crvena slatka paprika, pečurke, tikvice, soja sos, susam, ajzberg, masline",490.00
Sendviči,Sendvič Classic,"Šunka, pavlaka, kačkavalj, paradajz, parmezan, ajzberg",520.00
Sendviči,Sendvič Kulen,"Kulen, pavlaka, kačkavalj, paradajz, parmezan, ajzberg",550.00
Sendviči,Sendvič Pršuta,"Pršuta, pavlaka, kačkavalj, paradajz, parmezan, ajzberg",590.00
Paste,Pasta Vege,"Pelat, crvena slatka paprika, pečurke, crveni luk, tikvice, masline, parmezan",690.00
Paste,Pasta Carbonara,"Neutralna pavlaka, panceta, jaje, pekorino, parmezan",790.00
Paste,Pasta Arabiata,"Pelat, crvena slatka paprika, parmezan",650.00
Paste,Pasta Tiki Pil,"Neutralna pavlaka, grill piletina, pečurke, tikvice, parmezan",750.00
Paste,Pasta Spicy Beef,"Pelat, biftek, peperončino, parmezan",950.00
Obrok salate,Obrok salata Cezar,"Grill piletina, hrskava slanina, čeri, ajzberg, parmezan, krutoni, cezar dresing",790.00
Obrok salate,Obrok salata Beef,"Biftek, rukola, ajzberg, čeri, čedar dresing",950.00
Tortilje,Tortilja Pileća,"Piletina, dimljeni sir, ajzberg, paradajz, cezar dresing",690.00
Tortilje,Tortilja Beef,"Biftek, čedar, ajzberg, burger dresing, paradajz",850.00
Tortilje,Tortilja Vege,"Paradajz, rukola, pečurke, crveni luk, masline, maslinovo ulje, kukuruz, soja sos, susam",590.00
Prilozi,Pomfrit,-,200.00
Palačinke,Palačinka Nutella,-,350.00
Palačinke,Palačinka Eurokrem,-,300.00
Piće,Coca cola 0.33l,-,170.00
Piće,Coca cola Zero 0.33l,-,170.00
Piće,Coca cola 0.5l,-,190.00
Piće,Coca cola 1.5l,-,250.00
Piće,Coca cola Zero 1.5l,-,250.00
Piće,Heineken 0.5l,-,270.00
